
class,f1_score,precision,recall,support
1,0.825,0.885,0.772,400.0
2,0.784,0.745,0.828,400.0
3,0.931,0.876,0.993,400.0
4,0.828,0.881,0.78,400.0
class,f1_score,precision,recall,support
1,0.888,0.927,0.853,400.0
2,0.876,0.843,0.912,400.0
3,0.965,0.945,0.985,400.0
4,0.893,0.914,0.873,400.0
class,f1_score,precision,recall,support
1,0.814,0.883,0.755,400.0
2,0.775,0.735,0.82,400.0
3,0.917,0.86,0.983,400.0
4,0.816,0.868,0.77,400.0
class,f1_score,precision,recall,support
1,0.821,0.93,0.735,400.0
2,0.811,0.756,0.875,400.0
3,0.951,0.918,0.985,400.0
4,0.828,0.837,0.82,400.0
class,f1_score,precision,recall,support
1,0.87,0.937,0.812,400.0
2,0.834,0.803,0.868,400.0
3,0.931,0.878,0.99,400.0
4,0.868,0.903,0.835,400.0
class,f1_score,precision,recall,support
1,0.827,0.86,0.797,400.0
2,0.805,0.767,0.848,400.0
3,0.949,0.922,0.978,400.0
4,0.813,0.854,0.775,400.0
class,f1_score,precision,recall,support
1,0.898,0.955,0.848,400.0
2,0.87,0.827,0.917,400.0
3,0.966,0.939,0.995,400.0
4,0.88,0.907,0.855,400.0
class,f1_score,precision,recall,support
1,0.903,0.938,0.87,400.0
2,0.861,0.835,0.887,400.0
3,0.957,0.925,0.99,400.0
4,0.887,0.915,0.86,400.0
class,f1_score,precision,recall,support
1,0.828,0.886,0.777,400.0
2,0.793,0.774,0.812,400.0
3,0.904,0.839,0.98,400.0
4,0.806,0.848,0.767,400.0
class,f1_score,precision,recall,support
1,0.889,0.939,0.845,400.0
2,0.836,0.808,0.865,400.0
3,0.931,0.883,0.985,400.0
4,0.875,0.915,0.838,400.0
class,f1_score,precision,recall,support
1,0.857,0.914,0.806,4000.0
2,0.824,0.789,0.863,4000.0
3,0.94,0.897,0.986,4000.0
4,0.849,0.884,0.817,4000.0
class,f1_score,precision,recall,support
1,0.915,0.947,0.885,400.0
2,0.895,0.876,0.915,400.0
3,0.948,0.912,0.988,400.0
4,0.908,0.939,0.88,400.0
class,f1_score,precision,recall,support
1,0.921,0.954,0.89,400.0
2,0.9,0.89,0.91,400.0
3,0.948,0.903,0.998,400.0
4,0.902,0.931,0.875,400.0
class,f1_score,precision,recall,support
1,0.909,0.948,0.873,400.0
2,0.909,0.873,0.948,400.0
3,0.968,0.956,0.98,400.0
4,0.916,0.93,0.902,400.0
class,f1_score,precision,recall,support
1,0.92,0.967,0.877,400.0
2,0.913,0.874,0.955,400.0
3,0.967,0.947,0.988,400.0
4,0.92,0.94,0.9,400.0
class,f1_score,precision,recall,support
1,0.915,0.956,0.877,400.0
2,0.904,0.87,0.94,400.0
3,0.971,0.95,0.993,400.0
